95,"Death keeps no calender.",म्रत्यु का कोई समय नहीं |
96,"A constant guest is never welcome.",मेहमान एक या दो दिन का होता है |
97,"Man is known by the company he keeps.",मनुष्य अपनी संगति से पहचाना जाता है |
98,"An open door tempts even a saint.",मुफ्त की शराब काजी को भी हलाल |
99,"To err is human; to forgive divine.",मनुष्य गलती का पुतला है और भगवान का काम माफ़ करना है |
100,"To make mountain of the mole hill.",राई का पर्वत बनाना |
101,"Wolves may lose their teeth but not their nature.",रस्सी जल गई पर बल न गया |
102,"Diamond cuts diamond.",लोहे को लोहा काटता है|
103,"Riches have wings.",लक्ष्मी चंचला होती है |
104,"Voice of the people is the voice of God.",लोगों की वाणी  इश्वर की वाणी |
105,"Rod is the logic of fools.",लातों के भूत बातों से नहीं मानते |
106,"Truth is always bitter.",सच्ची बात चुभती है |
107,"It is very too late to mend.",सुबह का भुला यदि शाम को घर लोट आए तो उसे भूला नहीं कहते |
108,"Slow and steady wins the race.",सहज पके सो मीठा होए |
109,"Beauty need no brnaments.",सुन्दरता को आभूषण की आवस्यकता नहीं |
110,"Truth fears no test.",सांच को आंच नहीं |
111,"Everything looks pale to the jaundiced eye.",सावन के अंधे को हरा ही हरा दिखाई देता है |
112,"Time is a great healer.",समय सब घावों का मरहम है |
113,"Coming events cast their shadows before.",होनहार बिरवान के होत चिकने पात |
114,"Measure for measure.",हत्या के बदले फासीं |
115,"Rome was not built in a day.",हथेली पर दही नहीं जमती |
116,"To build casties in the air.",हवाई किले बनाना |
117,"All that glitters is not gold.",हाथी के दांत खाने के और दिखाने के और |
118,"It’s no use to cry over spilt milk.",अब पछताए होत क्या जब चिडिया चुग गयी खेत |
119,"Every cock fights best on its own dunghill.",अपनी गली में कुत्ता भी शेर होता है |
120,"Death’s day is droom’s day.",आप मरे जग प्रलय |
121,"Out of sight, out of mind.",आँख ओझल पहाड़ ओझल |
122,"Do not put off till tomorrow.",आज का कार्य कल पर मत छोडो |
123,"Better alone than in bad company.",कुसंगत से अकेला भला |
124,"To carry coal to new castle.",उल्टे बांस बरेली को |
125,"Sweep before your own door.",दुसरे के फटे में पांव नहीं देते |
126,"Where there is well, there is a way.",जहाँ चाहा वहां राह |
127,"Nearver the church farther from God.",दिये तले अँधेरा |
128,"A guilty conscience needs no accuser.",चोर की दाढ़ी में तिनका |
129,"Little drops make the ocean.",बूँद बूँद करके तालाब भरता है |
130,"God helps those who help themeselve.",ईस्वर उसकी सहायता करता है जो अपनी सहायता स्वेम करते हैं |
131,"Love begets love and hate begets hate.",घर्णा से घ्रणा पैदा होती है |
132,"A friends in need is a friend indeed.",मित्र वही है जो मुसीबत मैं काम आता है |
133,"Nothing venture, nothing have.",बिना खतरे लाभ नहीं |
134,"Honesty is the best policy.",इमानदारी अच्छी नीति है |
135,"Spend and God will send.",शक्कर खोर को परमात्मा शक्कर देता है |
136,"A good name is batter than riches.",नाम बड़ा या दाम |
137,"If the sky falls, we shall catch larks.",न नौ मन तेल होगा न राधा नाचेगी |
138,"Evil pursuits bring bad reputation.",कोयले की दलाली में मुहं काला |
139,"Time blunts the edge of grief.",समय सब घावों का इलाज है |
140,"Death with friends is a festival.",दोस्तों के साथ नरक भी स्वर्ग है |
141,"A prophet is seldom honoured in his own land.",घर को जोगी जोगडा बहार का जोगी सिद्ध |
142,"Evil can bot prosper for ever.",सौ दिन चोर के एक दिन साध का |
143,"Pride goeth before a fall.",घमंडी का मुहं काला |
144,"east or west, home is the best.",अपने घर जैसा सुख कहीं भी नहीं |
145,"He who hoards takes pains for others.",जोड़-जोड़ मर जाएँगे माल जमाई खायेगा |
146,"Harping on the same string.",वही तुम वही तुम्हारा राग |
147,"Virtue survives the grave.",नेकी करने के बाद याद आती है |
148,"Even walls have ears.",दीवार के भी कान होते हैं |
149,"It is a far cry.",अभी दिल्ली दूर है |
150,"Grapes are sour.",हाथ न पहुंचे थूकौडी |
151,"Do unto others as you wish to be done by them.",दुसरे के साथ वैसा ही व्यवहार करो जैसा तुम चाहते हो की वो तुमसे करें |
152,"Brain is better than brawn Wisdom is better than Strength.",अक्ल बड़ी के भैंस |
153,"Business is business.",व्यवसाय में लज्जा कैसी |
154,"Every tide has its ebb, he who rises, must fall.",हर उन्नति के उपरांत अवनति |
155,"A traitor is the worest enemy.",घर का भेदी लंका ढाए |
156,"When the two bulls fight, it is the grass that suffers.",गेहूं के साथ घुन भी पिस जाता है |
157,"Let the sleeping dogs lie.",भिडों के छते को मत छेड़ो |
158,"Greed is a curse.",लालच बुरी बात है |
159,"Pen is mightier than the sword.",तलवार से कलम बड़ी है |
160,"Money saved, is money earned.",जो बचाया सो कमाया |
161,"Knowledge is power.",विद्या सबसे बड़ा धन है |
162,"An upstart always grows haughty.",कुत्ते को घी हजम नहीं होता |
163,"A talk of chalk and you talk of cheese.",सवाल गंदम जबाब चना |
164,"A leopard can not change it’s spots.",लकीर का फकीर
65,"Herd Race, Mob Mentality.",भेड़ चाल
1,"While In Rome Do As Romads Do.",जहाँ का पीवे पानी, वहां की बोले वाणी
2,"As You Sow, So Shall You Reap.",जैसी करनी, वैसी भरनी
3,"A thing is valued where it belongs.",जंगल में मोती की कदर नहीं होती
4,"To The Good The World Appears Good.",आप भला तो जग भला
5,"An Empty Vessel Makes Much Noise.",थोथा चना बाजे घना
6,"Helath Is Wealth.",तंदरुस्ती हजार नियामत है
7,"No Pain, No Gain.",काया को दुःख दिए बिना कोई काम नहीं सुधरता
8,"Time Once Lost Cannot Be Regained.",गया वक्त फिर हाथ नहीं आता
9,"Society Moulds Man.",खरबूजे को देखकर खरबूजा रंग नही बदलता है
10,"Union Is Strength.",एक और एक ग्यारह होते हैं
11,"Fools Praise Fools.",गधे को गधा खुजलाता है
12,"Many Heads Many Minds.",अपनी अपनी डफली, अपना अपना राग
13,"Barking Dogs Seldom Bite.",जो गरजते हैं सो बरसते नहीं
14,"It Is No Use Building Castles In The Air.",मन के लड्डुओं से भूक नहीं मिटती
15,"Penny Wise Pound Foolish.",गवांर गत्रा न दे, भेली दे
16,"Give Loan, Enemy Own.",उधार दीजे, दुश्मन कीजे
17,"Birds Of a Feather Flock Together.",एक थैली के चट्टे बट्टे
18,"Where There is a Will, There Is a Way.",जहाँ चाह-वहां राह
19,"A Bad Carpenter Quarrels With Hi tool.",नाच न जाने आँगन टेढा
20,"Silence Is Half Consent.",चुप माने, आधी मर्जी
21,"An Empty Vessel Makes Much Noise.",अधजल गगरी छलकत जाए
22,"A Man Is a Slave to His Stomach.",आदमी पेट का दास23,The More Haste, The Worse Speed ,आगे दौड़, पीछे छोड़
24,"A Brunt Child Dreads The Fire./Once Bitten Twice Shy.",दूध का जला छाछ फूंक-फूंक कर पीता है
25,"A Honey tongue.", a Heart Of Gall ,मुहं में राम, बगल में छुरी
26,"A Little Knowledge Is a Dangerous thing .",नीम हकीम खतरा-ए-जान
27,"All’s Well That Ends Well",अंत भला तो सब भला
28,"Style Makes The Man .",कपडे देखर इज्जत मिलती है
29,"One Nail Drivers Another .",कांटे से कांटा निकलता है
30,"Truth Lies At The Bootom of a Well .",मोती गहरे पानी मैं होता है
31,"There Is a Time For Everything .",हर चीज का वक्त होता है
32,"One Lie leads to Another .",झूठ का अंत नहीं
33,"It Takes All Sorts To Make The World .",इ संसार में हर तरह के लोग होते हैं
34,"It Takes To Make A Quarrel .",ताली दोनों हाथों से बजती है
35,"A Friend In Need Is a Friend Indeed .",मित्र वही जी मुसीबत में काम आये
